Proj;barinel;dstar2;jaccard;muse;ochiai;opt2;tarantula;;;Proj;barinel;dstar2;jaccard;muse;ochiai;opt2;tarantula
Lang_60;1;1;1;1;1;1;1;;;;;;;;;;
Lang_61;14;1;14;1;14;1;14;;;;;;;;;;
Lang_62;1;1;1;1;1;1;1;;;;;;;;;;
Lang_63;1;1;1;1;1;1;1;;;;;;;;;;
Lang_64;4;4;4;4;4;4;4;;;;;;;;;;
Lang_65;6;6;6;6;6;6;6;;;;;;;;;;
Math_1;9;14;11;29;14;29;9;;;;;;;;;;
Math_2;44;44;44;44;44;44;44;;;;;;;;;;
Math_3;1;1;1;1;1;1;1;;;;;;;;;;
Math_4;3;3;3;3;3;44;3;;;;;;;;;;
Math_5;1;1;1;1;1;1;1;;;;;;;;;;
Math_6;72;2;2;13;2;55;72;;;;;;;;;;
Math_7;14;14;14;14;14;14;14;;;;;;;;;;
Math_8;3;3;3;3;3;3;3;;;;;;;;;;
Math_9;1;1;1;1;1;1;1;;;;;;;;;;
Math_10;5;5;5;5;5;5;5;;;;;;;;;;
Math_11;27;27;27;27;27;27;27;;;;;;;;;;
Math_12; -;-;-;-;-;-;-;;;;;;;;;;
Math_13;140;140;140;140;140;140;140;;;;;;;;;;
Math_14;93;93;93;93;93;93;93;;;;;;;;;;
Math_15;1;1;1;1;1;1;1;;;;;;;;;;
Math_16;1;1;1;1;1;1;1;;;;;;;;;;
Math_17;89;89;89;89;89;89;89;;;;;;;;;;
Math_18; -;-;-;-;-;-;-;;;;;;;;;;
Math_19;56;56;56;56;56;56;56;;;;;;;;;;
Math_20; -;-;-;-;-;-;-;;;;;;;;;;
Math_21;1;38;38;38;38;38;1;;;;;;;;;;
Math_22;1;1;1;1;1;53;1;;;;;;;;;;
Math_23;37;37;37;37;37;37;37;;;;;;;;;;
Math_24;43;43;43;43;43;43;43;;;;;;;;;;
Math_25; -;-;-;-;-;-;-;;;;;;;;;;
Math_26;3;3;3;3;3;3;3;;;;;;;;;;
Math_27;1;1;1;1;1;1;1;;;;;;;;;;
Math_28;13;13;13;13;13;13;13;;;;;;;;;;
Math_29;1;1;1;81;1;177;1;;;;;;;;;;
Math_30;161;161;161;161;161;161;161;;;;;;;;;;
Math_31;13;11;11;11;11;11;13;;;;;;;;;;
Math_32;5;5;5;5;5;5;5;;;;;;;;;;
Math_33;6;6;6;6;6;6;6;;;;;;;;;;
Math_34;3;3;3;3;3;3;3;;;;;;;;;;
Math_35;2;3;3;2;3;3;2;;;;;;;;;;
Math_36;1;1;1;1;1;14;1;;;;;;;;;;
Math_37;3;12;5;200;5;208;3;;;;;;;;;;
Math_38;1;1;1;1;1;1;1;;;;;;;;;;
Math_39;42;42;42;42;42;42;42;;;;;;;;;;
Math_40;33;33;33;33;33;33;33;;;;;;;;;;
Math_41;37;37;37;37;37;37;37;;;;;;;;;;
Math_42;57;57;57;57;57;57;57;;;;;;;;;;
Math_43;87;54;71;48;61;46;87;;;;;;;;;;
Math_44;11;11;11;11;11;11;11;;;;;;;;;;
Math_45;1;1;1;1;1;1;1;;;;;;;;;;
Math_46;2;1;1;1;1;1;2;;;;;;;;;;
Math_47;2;2;2;2;2;2;2;;;;;;;;;;
Math_48;303;303;303;303;303;303;303;;;;;;;;;;
Math_49;5;5;5;5;5;5;5;;;;;;;;;;
Math_50;1;1;1;1;1;1;1;;;;;;;;;;
Math_51;274;274;274;274;274;274;274;;;;;;;;;;
Math_52;2;2;2;2;2;2;2;;;;;;;;;;
Math_53;1;1;1;1;1;1;1;;;;;;;;;;
Math_54;128;128;128;128;128;128;128;;;;;;;;;;
Math_55;1;1;1;1;1;1;1;;;;;;;;;;
Math_56;9;9;9;9;9;9;9;;;;;;;;;;
Math_57;4;4;4;4;4;4;4;;;;;;;;;;
Math_58;223;223;223;223;223;223;223;;;;;;;;;;
Math_59;2;2;2;2;2;2;2;;;;;;;;;;
Math_60;283;283;283;283;283;283;283;;;;;;;;;;
Math_61;1;1;1;1;1;1;1;;;;;;;;;;
Math_62;334;334;334;-;334;334;334;;;;;;;;;;
Math_63;1;1;1;1;1;1;1;;;;;;;;;;
Math_64;1;1;1;1;1;1;1;;;;;;;;;;
Math_65;12;12;12;12;12;12;12;;;;;;;;;;
Math_66;250;3;47;91;47;1;253;;;;;;;;;;
Math_67;7;7;7;7;7;7;7;;;;;;;;;;
Math_68;1;1;1;1;1;1;1;;;;;;;;;;
Math_69;48;48;48;48;48;48;48;;;;;;;;;;
Math_70;1;1;1;1;1;1;1;;;;;;;;;;
Math_71;1;1;1;22;1;278;1;;;;;;;;;;
Math_72;1;1;1;1;1;1;1;;;;;;;;;;
Math_73;1;1;1;1;1;1;1;;;;;;;;;;
Math_74;758;758;758;758;758;758;758;;;;;;;;;;
Math_75;1;1;1;1;1;1;1;;;;;;;;;;
Math_76;5;5;5;5;5;5;5;;;;;;;;;;
Math_77;13;13;13;13;13;15;13;;;;;;;;;;
Math_78;67;67;67;67;67;67;67;;;;;;;;;;
Math_79;29;29;29;29;29;29;29;;;;;;;;;;
Math_80;14;14;14;14;14;14;14;;;;;;;;;;
Math_81;1;1;1;1;1;1;1;;;;;;;;;;
Math_82;76;76;76;-;76;76;76;;;;;;;;;;
Math_83;1;1;1;1;1;1;1;;;;;;;;;;
Math_84;23;9;18;22;18;9;23;;;;;;;;;;
Math_85;11;11;11;11;11;11;11;;;;;;;;;;
Math_86;59;19;59;59;55;2;59;;;;;;;;;;
Math_87;109;109;109;109;109;109;109;;;;;;;;;;
Math_88;1;1;1;1;1;1;1;;;;;;;;;;
Math_89;1;1;1;1;1;1;1;;;;;;;;;;
Math_90;1;1;1;1;1;1;1;;;;;;;;;;
Math_91;1;1;1;1;1;1;1;;;;;;;;;;
Math_92;1;1;1;1;1;1;1;;;;;;;;;;
Math_93;1;1;1;1;1;1;1;;;;;;;;;;
Math_94;1;1;1;1;1;1;1;;;;;;;;;;
Math_95;11;11;11;11;11;11;11;;;;;;;;;;
Math_96;5;5;5;5;5;5;5;;;;;;;;;;
Math_97;1;1;1;1;1;1;1;;;;;;;;;;
Math_98;1;1;1;1;1;1;1;;;;;;;;;;
Math_99;1;1;1;1;1;1;1;;;;;;;;;;
Math_100;7;7;7;7;7;7;7;;;;;;;;;;
Math_101;1;1;1;1;1;1;1;;;;;;;;;;
Math_102;1;1;1;1;1;1;1;;;;;;;;;;
Math_103;30;30;30;30;30;30;30;;;;;;;;;;
Math_104; -;-;-;-;-;-;-;;;;;;;;;;
Math_105;25;25;25;-;25;25;25;;;;;;;;;;
Math_106;1;1;1;1;1;1;1;;;;;;;;;;
Closure_1;261;73;73;73;73;73;261;;;;;;;;;;
Closure_2;3;3;3;3;3;3;3;;;;;;;;;;
Closure_3;257;253;257;253;256;253;257;;;;;;;;;;
Closure_4;61;58;61;52;58;52;61;;;;;;;;;;
Closure_5; -;-;-;-;-;-;-;;;;;;;;;;
Closure_6;1;1;1;26;1;26;1;;;;;;;;;;
Closure_7; -;-;-;-;-;-;-;;;;;;;;;;
Closure_8; -;-;-;-;-;-;-;;;;;;;;;;
Closure_9;1;1;1;1;1;1;1;;;;;;;;;;
Closure_10;67;67;67;67;67;67;67;;;;;;;;;;
Closure_11;692;615;692;544;615;544;692;;;;;;;;;;
Closure_12;1085;1085;1085;1085;1085;1085;1085;;;;;;;;;;
Closure_13;465;465;465;465;465;465;465;;;;;;;;;;
Closure_14;5;1;4;1;3;1;5;;;;;;;;;;
Closure_15; -;-;-;-;-;-;-;;;;;;;;;;
Closure_16; -;-;-;-;-;-;-;;;;;;;;;;
Closure_17; -;-;-;-;-;-;-;;;;;;;;;;
Closure_18;2320;2320;2320;2320;2320;2320;2320;;;;;;;;;;
Closure_19;1;1;1;1;1;1;1;;;;;;;;;;
Closure_20;5;5;5;5;5;5;5;;;;;;;;;;
Closure_21;2;2;2;2;2;2;2;;;;;;;;;;
Closure_22;1;1;1;1;1;1;1;;;;;;;;;;
Closure_23;1;1;1;1;1;1;1;;;;;;;;;;
Closure_24; -;-;-;-;-;-;-;;;;;;;;;;
Closure_25;112;112;112;112;112;112;112;;;;;;;;;;
Closure_26; -;-;-;-;-;-;-;;;;;;;;;;
Closure_27;1;1;1;1;1;9;1;;;;;;;;;;
Closure_28; -;-;-;-;-;-;-;;;;;;;;;;
Closure_29; -;-;-;-;-;-;-;;;;;;;;;;
Closure_30;201;172;191;83;182;83;201;;;;;;;;;;
Closure_31;1756;1756;1756;1756;1756;1756;1756;;;;;;;;;;
Closure_32;21;21;21;21;21;21;21;;;;;;;;;;
Closure_33;2;2;2;2;2;2;2;;;;;;;;;;
Closure_34;3;3;3;3;3;3;3;;;;;;;;;;
Closure_35;6;6;6;6;6;6;6;;;;;;;;;;
Closure_36; -;-;-;-;-;-;-;;;;;;;;;;
Closure_37;857;857;857;857;857;857;857;;;;;;;;;;
Closure_38;1;1;1;1;1;1;1;;;;;;;;;;
Closure_39;1;1;1;1;1;1;1;;;;;;;;;;
Closure_40; -;-;-;-;-;-;-;;;;;;;;;;
Closure_41;6;57;6;363;55;363;6;;;;;;;;;;
Closure_42; -;-;-;-;-;-;-;;;;;;;;;;
Closure_43; -;-;-;-;-;-;-;;;;;;;;;;
Closure_44;206;206;206;206;206;206;206;;;;;;;;;;
Closure_45;123;123;123;123;123;123;123;;;;;;;;;;
Closure_46;13;1;1;1;1;1;13;;;;;;;;;;
Closure_47;170;342;335;249;335;249;170;;;;;;;;;;
Closure_48; -;-;-;-;-;-;-;;;;;;;;;;
Closure_49;1720;1069;1239;1018;1178;94;1720;;;;;;;;;;
Closure_50;7;71;71;71;71;71;7;;;;;;;;;;
Closure_51;41;41;41;41;41;41;41;;;;;;;;;;
Closure_52;15;15;15;15;15;15;15;;;;;;;;;;
Closure_53; -;-;-;-;-;-;-;;;;;;;;;;
Closure_54;4632;4361;4629;4501;4361;3072;4632;;;;;;;;;;
Closure_55;332;332;332;332;332;332;332;;;;;;;;;;
Closure_56;6;6;6;1;6;1;6;;;;;;;;;;
Closure_57;2;2;2;2;2;2;2;;;;;;;;;;
Closure_58;4;4;4;4;4;4;4;;;;;;;;;;
Closure_59;96;96;96;96;96;96;96;;;;;;;;;;
Closure_60;12;10;12;1;10;1;12;;;;;;;;;;
Closure_61;89;81;89;79;81;79;89;;;;;;;;;;
Closure_62;1;1;1;1;1;1;1;;;;;;;;;;
Closure_63;1;1;1;1;1;1;1;;;;;;;;;;
Closure_64;1228;1228;1228;1228;1228;1228;1228;;;;;;;;;;
Closure_65;1;1;1;1;1;1;1;;;;;;;;;;
Closure_66;22;18;22;18;18;18;22;;;;;;;;;;
Closure_67; -;-;-;-;-;-;-;;;;;;;;;;
Closure_68;2;2;2;2;2;2;2;;;;;;;;;;
Closure_69;291;122;290;1;126;1;291;;;;;;;;;;
Closure_70; -;-;-;-;-;-;-;;;;;;;;;;
Closure_71;2;2;2;1;2;1;2;;;;;;;;;;
Closure_72;238;238;238;238;238;238;238;;;;;;;;;;
Closure_73;1;1;1;1;1;1;1;;;;;;;;;;
Closure_74;7;1;1;1;1;1;7;;;;;;;;;;
Closure_75;1;1;1;1;1;1;1;;;;;;;;;;
Closure_76;89;72;72;75;72;75;89;;;;;;;;;;
Closure_77;1;1;1;1;1;1;1;;;;;;;;;;
Closure_78;1;1;1;1;1;1;1;;;;;;;;;;
Closure_79;39;37;39;30;37;1513;39;;;;;;;;;;
Closure_80;1;1;1;50;1;754;1;;;;;;;;;;
Closure_81; -;-;-;-;-;-;-;;;;;;;;;;
Closure_82;2336;549;2336;2151;549;223;2336;;;;;;;;;;
Closure_83; -;-;-;-;-;-;-;;;;;;;;;;
Closure_84; -;-;-;-;-;-;-;;;;;;;;;;
Closure_85;99;15;89;13;89;13;99;;;;;;;;;;
Closure_86;14;2;2;1;2;1;14;;;;;;;;;;
Closure_87;155;155;155;155;155;155;155;;;;;;;;;;
Closure_88;195;68;68;68;68;68;195;;;;;;;;;;
Closure_89;117;427;114;642;409;2855;117;;;;;;;;;;
Closure_90;1836;1836;1836;1817;1836;1817;1836;;;;;;;;;;
Closure_91;41;41;41;41;41;41;41;;;;;;;;;;
Closure_92; -;-;-;-;-;-;-;;;;;;;;;;
Closure_93; -;-;-;-;-;-;-;;;;;;;;;;
Closure_94;1;1;1;1;1;1;1;;;;;;;;;;
Closure_95; -;-;-;-;-;-;-;;;;;;;;;;
Closure_96;25;25;25;25;25;25;25;;;;;;;;;;
Closure_97;7;7;7;7;7;7;7;;;;;;;;;;
Closure_98; -;-;-;-;-;-;-;;;;;;;;;;
Closure_99;16;11;19;1;13;1;16;;;;;;;;;;
Closure_100;6;6;6;1;6;1;6;;;;;;;;;;
Closure_101;3817;3817;3817;3865;3817;3817;3817;;;;;;;;;;
Closure_102;4743;4743;4743;4743;4743;4743;4743;;;;;;;;;;
Closure_103;981;753;974;913;753;18;981;;;;;;;;;;
Closure_104;1;1;1;1;1;1;1;;;;;;;;;;
Closure_105;62;62;62;62;62;62;62;;;;;;;;;;
Closure_106;2;92;83;747;4;2438;2;;;;;;;;;;
Closure_107;199;199;199;199;199;199;199;;;;;;;;;;
Closure_108; -;-;-;-;-;-;-;;;;;;;;;;
Closure_109;4;4;4;4;4;4;4;;;;;;;;;;
Closure_110; -;-;-;-;-;-;-;;;;;;;;;;
Closure_111; -;-;-;-;-;-;-;;;;;;;;;;
Closure_112;109;89;109;62;96;62;109;;;;;;;;;;
Closure_113;6;6;6;6;6;6;6;;;;;;;;;;
Closure_114; -;-;-;-;-;-;-;;;;;;;;;;
Closure_115;8;8;8;8;8;8;8;;;;;;;;;;
Closure_116;40;8;18;1;8;1;40;;;;;;;;;;
Closure_117; -;-;-;-;-;-;-;;;;;;;;;;
Closure_118; -;-;-;-;-;-;-;;;;;;;;;;
Closure_119; -;-;-;-;-;-;-;;;;;;;;;;
Closure_120; -;-;-;-;-;-;-;;;;;;;;;;
Closure_121; -;-;-;-;-;-;-;;;;;;;;;;
Closure_122;2;2;2;2;2;2;2;;;;;;;;;;
Closure_123;3;3;3;3;3;3;3;;;;;;;;;;
Closure_124;9;9;9;9;9;9;9;;;;;;;;;;
Closure_125;166;166;166;166;166;166;166;;;;;;;;;;
Closure_126;6;6;6;6;6;6;6;;;;;;;;;;
Closure_127; -;-;-;-;-;-;-;;;;;;;;;;
Closure_128;11;11;11;11;11;11;11;;;;;;;;;;
Closure_129; -;-;-;-;-;-;-;;;;;;;;;;
Closure_130;83;83;83;83;83;83;83;;;;;;;;;;
Closure_131;22;37;38;34;37;34;22;;;;;;;;;;
Closure_132;79;79;79;79;79;79;79;;;;;;;;;;
Closure_133;130;130;130;130;130;130;130;;;;;;;;;;
Mockito_1; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_2; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_3; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_4; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_5; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_6; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_7; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_8; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_9;31;28;31;9;28;193;31;;;;;;;;;;
Mockito_10;23;23;23;67;23;424;23;;;;;;;;;;
Mockito_11;1;1;1;1;1;1;1;;;;;;;;;;
Mockito_12;1;1;1;1;1;1;1;;;;;;;;;;
Mockito_13;74;74;74;74;74;74;74;;;;;;;;;;
Mockito_14;147;147;147;147;147;147;147;;;;;;;;;;
Mockito_15;62;62;62;62;62;62;62;;;;;;;;;;
Mockito_16;4;4;4;4;4;4;4;;;;;;;;;;
Mockito_17;4;4;4;4;4;4;4;;;;;;;;;;
Mockito_18; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_19; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_20; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_21;1;1;1;1;1;1;1;;;;;;;;;;
Mockito_22;1;1;1;1;1;1;1;;;;;;;;;;
Mockito_23;10;10;10;19;10;191;10;;;;;;;;;;
Mockito_24;9;1;5;1;5;10;9;;;;;;;;;;
Mockito_25;74;61;62;46;62;387;74;;;;;;;;;;
Mockito_26; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_27;13;13;13;13;13;13;13;;;;;;;;;;
Mockito_28;229;229;229;229;229;229;229;;;;;;;;;;
Mockito_29;19;19;19;19;19;19;19;;;;;;;;;;
Mockito_30;4;4;4;4;4;4;4;;;;;;;;;;
Mockito_31; -;-;-;-;-;-;-;;;;;;;;;;
Mockito_32;5;5;5;5;5;5;5;;;;;;;;;;
Mockito_33;224;61;222;60;61;31;224;;;;;;;;;;
Mockito_34;36;30;36;11;30;11;36;;;;;;;;;;
Mockito_35;4;1;1;57;1;358;4;;;;;;;;;;
Mockito_36;4;4;4;1;4;1;4;;;;;;;;;;
Mockito_37;55;10;55;4;10;3;55;;;;;;;;;;
Mockito_38;44;3;44;1;3;1;44;;;;;;;;;;
Time_1;1;1;1;1;1;1;1;;;;;;;;;;
Time_2;1;1;1;1;1;1;1;;;;;;;;;;
Time_3;1;1;1;1;1;1;1;;;;;;;;;;
Time_4;6;6;6;6;6;6;6;;;;;;;;;;
Time_5;71;5;29;5;29;5;71;;;;;;;;;;
Time_6;182;263;183;317;248;325;182;;;;;;;;;;
Time_7;11;10;11;10;10;10;11;;;;;;;;;;
Time_8;1;1;1;1;1;1;1;;;;;;;;;;
Time_9;1;1;1;1;1;1;1;;;;;;;;;;
Time_10;323;315;321;312;315;312;323;;;;;;;;;;
Time_11; -;-;-;-;-;-;-;;;;;;;;;;
Time_12;2;21;6;177;3;239;2;;;;;;;;;;
Time_13; -;-;-;-;-;-;-;;;;;;;;;;
Time_14;2;2;2;1;2;1;2;;;;;;;;;;
Time_15;1;1;1;1;1;1;1;;;;;;;;;;
Time_16;1;1;1;1;1;1;1;;;;;;;;;;
Time_17;5;5;5;5;5;5;5;;;;;;;;;;
Time_18;3;3;3;3;3;3;3;;;;;;;;;;
Time_19;620;620;620;620;620;620;620;;;;;;;;;;
Time_20; -;-;-;-;-;-;-;;;;;;;;;;
Time_21;7;13;7;11;13;11;7;;;;;;;;;;
Time_22;41;41;41;40;41;40;41;;;;;;;;;;
Time_23;2;2;2;2;2;2;2;;;;;;;;;;
Time_24;389;338;382;310;344;310;389;;;;;;;;;;
Time_25;6;11;6;102;9;102;6;;;;;;;;;;
Time_26; -;-;-;-;-;-;-;;;;;;;;;;
Time_27;119;119;119;119;119;119;119;;;;;;;;;;
