Proj;barinel;dstar2;jaccard;muse;ochiai;opt2;tarantula;;Proj;barinel;dstar2;jaccard;muse;ochiai;opt2;tarantula
Math_14;95;95;95;95;95;95;95;;;;;;;;;
Math_15;42;42;42;42;42;42;42;;;;;;;;;
Math_16;1;9;1;252;5;252;1;;;;;;;;;
Math_17;89;89;89;89;89;89;89;;;;;;;;;
Math_18; -;-;-;-;-;-;-;;;;;;;;;
Math_19;935;-;-;269;-;313;-;;;;;;;;;
Math_20; -;-;-;-;-;-;-;;;;;;;;;
Math_21;57;48;48;48;48;48;57;;;;;;;;;
Math_22;1;1;1;1;1;53;1;;;;;;;;;
Math_23;146;146;146;146;146;146;146;;;;;;;;;
Math_24;148;148;148;148;148;148;148;;;;;;;;;
Math_25; -;-;-;-;-;-;-;;;;;;;;;
Math_26;38;38;38;38;38;38;38;;;;;;;;;
Math_27;1;1;1;1;1;1;1;;;;;;;;;
Math_28;13;13;13;13;13;13;13;;;;;;;;;
Math_29;6;6;6;86;6;182;6;;;;;;;;;
Math_30;161;161;161;161;161;161;161;;;;;;;;;
Math_31;251;103;251;29;103;29;251;;;;;;;;;
Math_32;6;6;6;6;6;6;6;;;;;;;;;
Math_33;44;44;44;44;44;44;44;;;;;;;;;
Math_34;3;3;3;3;3;3;3;;;;;;;;;
Math_35;4;5;5;4;5;5;4;;;;;;;;;
Math_36;2;2;2;2;2;15;2;;;;;;;;;
Math_37;4;13;6;201;6;209;4;;;;;;;;;
Math_38;5;5;5;5;5;5;5;;;;;;;;;
Math_39;119;119;119;119;119;119;119;;;;;;;;;
Math_40;34;34;34;34;34;34;34;;;;;;;;;
Math_41;49;49;49;49;49;49;49;;;;;;;;;
Math_42;66;66;66;66;66;66;66;;;;;;;;;
Math_43;93;60;77;54;67;52;93;;;;;;;;;
Math_44;14;14;14;14;14;14;14;;;;;;;;;
Math_45;2;2;2;2;2;2;2;;;;;;;;;
Math_46;2;1;1;1;1;1;2;;;;;;;;;
Math_47;2;2;2;2;2;2;2;;;;;;;;;
Math_48;303;303;303;303;303;303;303;;;;;;;;;
Math_49;7;7;7;7;7;7;7;;;;;;;;;
Math_50;1;1;1;1;1;1;1;;;;;;;;;
Math_51;278;278;278;278;278;278;278;;;;;;;;;
Math_52;23;23;23;23;23;23;23;;;;;;;;;
Math_53;2;2;2;2;2;2;2;;;;;;;;;
Math_54;136;136;136;136;136;136;136;;;;;;;;;
Math_55;1;1;1;1;1;1;1;;;;;;;;;
Math_56;20;20;20;20;20;20;20;;;;;;;;;
Math_57;4;4;4;4;4;4;4;;;;;;;;;
Math_58;223;223;223;223;223;223;223;;;;;;;;;
Math_59;2;2;2;2;2;2;2;;;;;;;;;
Math_60;284;284;284;284;284;284;284;;;;;;;;;
Math_61;1;1;1;1;1;1;1;;;;;;;;;
Math_62;334;334;334;-;334;334;334;;;;;;;;;
Math_63;1;1;1;1;1;1;1;;;;;;;;;
Math_64;145;144;145;145;144;144;145;;;;;;;;;
Math_65;15;15;15;15;15;15;15;;;;;;;;;
Math_66;250;11;54;91;55;9;253;;;;;;;;;
Math_67;7;7;7;7;7;7;7;;;;;;;;;
Math_68;129;128;128;128;128;128;129;;;;;;;;;
Math_69;57;57;57;57;57;57;57;;;;;;;;;
Math_70;1;1;1;1;1;1;1;;;;;;;;;
Math_71;1;1;1;22;1;278;1;;;;;;;;;
Math_72;1;1;1;1;1;1;1;;;;;;;;;
Math_73;1;1;1;1;1;1;1;;;;;;;;;
Math_74;758;758;758;758;758;758;758;;;;;;;;;
Math_75;1;1;1;1;1;1;1;;;;;;;;;
Math_76;95;94;94;94;94;94;95;;;;;;;;;
Math_77;13;13;13;13;13;15;13;;;;;;;;;
Math_78;109;109;109;109;109;109;109;;;;;;;;;
Math_79;29;29;29;29;29;29;29;;;;;;;;;
Math_80;14;14;14;14;14;14;14;;;;;;;;;
Math_81;10;10;10;10;10;10;10;;;;;;;;;
Math_82;84;84;84;-;84;84;84;;;;;;;;;
Math_83;33;33;33;33;33;33;33;;;;;;;;;
Math_84;134;134;134;87;134;134;134;;;;;;;;;
Math_85;90;90;90;90;90;90;90;;;;;;;;;
Math_86;61;21;61;61;57;4;61;;;;;;;;;
Math_87;111;111;111;111;111;111;111;;;;;;;;;
Math_88;1;1;1;1;1;1;1;;;;;;;;;
Math_89;1;1;1;1;1;1;1;;;;;;;;;
Math_90;3;3;3;3;3;3;3;;;;;;;;;
Math_91;1;1;1;1;1;1;1;;;;;;;;;
Math_92;2;2;2;2;2;2;2;;;;;;;;;
Math_93;2;2;2;2;2;2;2;;;;;;;;;
Math_94;21;21;21;21;21;21;21;;;;;;;;;
Math_95;12;12;12;12;12;12;12;;;;;;;;;
Math_96;5;5;5;5;5;5;5;;;;;;;;;
Math_97;1;1;1;1;1;1;1;;;;;;;;;
Math_98;4;4;4;4;4;4;4;;;;;;;;;
Math_99;4;4;4;26;4;26;4;;;;;;;;;
Math_100;9;9;9;9;9;9;9;;;;;;;;;
Math_101;12;12;12;12;12;12;12;;;;;;;;;
Math_102;6;6;6;6;6;6;6;;;;;;;;;
Math_103;30;30;30;30;30;30;30;;;;;;;;;
Math_104; -;-;-;-;-;-;-;;;;;;;;;
Math_105;25;25;25;-;25;25;25;;;;;;;;;
Math_106;9;9;9;9;9;9;9;;;;;;;;;
Closure_1;870;121;617;120;239;120;870;;;;;;;;;
Closure_2;4;4;4;4;4;4;4;;;;;;;;;
Closure_3;445;442;445;438;442;438;445;;;;;;;;;
Closure_4;207;183;206;172;183;172;207;;;;;;;;;
Closure_5; -;-;-;-;-;-;-;;;;;;;;;
Closure_6;1;1;1;98;1;3519;1;;;;;;;;;
Closure_7; -;-;-;-;-;-;-;;;;;;;;;
Closure_8; -;-;-;-;-;-;-;;;;;;;;;
Closure_9;11;11;11;11;11;11;11;;;;;;;;;
Closure_10;141;141;141;141;141;141;141;;;;;;;;;
Closure_11;692;615;692;544;615;544;692;;;;;;;;;
Closure_12;1085;1085;1085;1085;1085;1085;1085;;;;;;;;;
Closure_13;5602;5602;5602;5602;5602;5602;5602;;;;;;;;;
Closure_14;5;1;4;1;3;1;5;;;;;;;;;
Closure_15; -;-;-;-;-;-;-;;;;;;;;;
Closure_16; -;-;-;-;-;-;-;;;;;;;;;
Closure_17; -;-;-;-;-;-;-;;;;;;;;;
Closure_18;2377;2377;2377;2377;2377;2377;2377;;;;;;;;;
Closure_19;1;1;1;1;1;1;1;;;;;;;;;
Closure_20;6;6;6;6;6;6;6;;;;;;;;;
Closure_21;2;2;2;2;2;2;2;;;;;;;;;
Closure_22;1;1;1;1;1;1;1;;;;;;;;;
Closure_23;8;8;8;8;8;8;8;;;;;;;;;
Closure_24; -;-;-;-;-;-;-;;;;;;;;;
Closure_25;112;112;112;112;112;112;112;;;;;;;;;
Closure_26; -;-;-;-;-;-;-;;;;;;;;;
Closure_27;1;3;3;3;3;11;1;;;;;;;;;
Closure_28; -;-;-;-;-;-;-;;;;;;;;;
Closure_29; -;-;-;-;-;-;-;;;;;;;;;
Closure_30;423;392;416;262;397;262;423;;;;;;;;;
Closure_31;1802;1802;1802;1802;1802;1802;1802;;;;;;;;;
Closure_32;28;22;22;22;22;22;28;;;;;;;;;
Closure_33;318;318;318;318;318;318;318;;;;;;;;;
Closure_34;8;8;8;8;8;8;8;;;;;;;;;
Closure_35;6;6;6;6;6;6;6;;;;;;;;;
Closure_36; -;-;-;-;-;-;-;;;;;;;;;
Closure_37;990;990;990;990;990;990;990;;;;;;;;;
Closure_38;49;49;49;49;49;49;49;;;;;;;;;
Closure_39;5;6;5;6;6;6;5;;;;;;;;;
Closure_40; -;-;-;-;-;-;-;;;;;;;;;
Closure_41;430;406;430;389;406;389;430;;;;;;;;;
Closure_42; -;-;-;-;-;-;-;;;;;;;;;
Closure_43; -;-;-;-;-;-;-;;;;;;;;;
Closure_44;210;210;210;210;210;210;210;;;;;;;;;
Closure_45;348;348;348;348;348;348;348;;;;;;;;;
Closure_46;13;1;1;1;1;1;13;;;;;;;;;
Closure_47;171;343;336;258;336;258;171;;;;;;;;;
Closure_48; -;-;-;-;-;-;-;;;;;;;;;
Closure_49;1720;1069;1239;1018;1178;95;1720;;;;;;;;;
Closure_50;96;78;90;78;90;78;96;;;;;;;;;
Closure_51;50;50;50;50;50;50;50;;;;;;;;;
Closure_52;15;15;15;15;15;15;15;;;;;;;;;
Closure_53; -;-;-;-;-;-;-;;;;;;;;;
Closure_54;4632;4361;4629;4501;4361;3072;4632;;;;;;;;;
Closure_55;332;332;332;332;332;332;332;;;;;;;;;
Closure_56;42;36;42;1;40;1;42;;;;;;;;;
Closure_57;7;7;7;7;7;7;7;;;;;;;;;
Closure_58;7;7;7;7;7;7;7;;;;;;;;;
Closure_59;7776;7776;7776;7776;7776;7776;7776;;;;;;;;;
Closure_60;12;10;12;1;10;1;12;;;;;;;;;
Closure_61;91;83;91;81;83;81;91;;;;;;;;;
Closure_62;4;4;4;4;4;4;4;;;;;;;;;
Closure_63;4;4;4;4;4;4;4;;;;;;;;;
Closure_64;3694;3694;3694;3694;3694;3694;3694;;;;;;;;;
Closure_65;1;1;1;1;1;1;1;;;;;;;;;
Closure_66;297;273;297;183;273;183;297;;;;;;;;;
Closure_67; -;-;-;-;-;-;-;;;;;;;;;
Closure_68;4;4;4;4;4;4;4;;;;;;;;;
Closure_69;360;209;360;13;209;13;360;;;;;;;;;
Closure_70; -;-;-;-;-;-;-;;;;;;;;;
Closure_71;63;60;63;47;60;47;63;;;;;;;;;
Closure_72;238;238;238;238;238;238;238;;;;;;;;;
Closure_73;16;16;16;16;16;16;16;;;;;;;;;
Closure_74;180;38;116;10;71;10;177;;;;;;;;;
Closure_75;1;1;1;1;1;1;1;;;;;;;;;
Closure_76;115;114;136;78;116;78;115;;;;;;;;;
Closure_77;1;1;1;1;1;1;1;;;;;;;;;
Closure_78;1;1;1;1;1;1;1;;;;;;;;;
Closure_79;39;37;39;30;37;1513;39;;;;;;;;;
Closure_80;5;5;5;54;5;758;5;;;;;;;;;
Closure_81; -;-;-;-;-;-;-;;;;;;;;;
Closure_82;2336;549;2336;2151;549;223;2336;;;;;;;;;
Closure_83; -;-;-;-;-;-;-;;;;;;;;;
Closure_84; -;-;-;-;-;-;-;;;;;;;;;
Closure_85;244;161;235;85;161;85;244;;;;;;;;;
Closure_86;14;2;2;1;2;1;14;;;;;;;;;
Closure_87;156;156;156;156;156;156;156;;;;;;;;;
Closure_88;195;68;68;68;68;68;195;;;;;;;;;
Closure_89;155;667;165;674;649;2866;155;;;;;;;;;
Closure_90;2022;2022;2022;2003;2022;2003;2022;;;;;;;;;
Closure_91;284;284;284;284;284;284;284;;;;;;;;;
Closure_92; -;-;-;-;-;-;-;;;;;;;;;
Closure_93; -;-;-;-;-;-;-;;;;;;;;;
Closure_94;1;1;1;1;1;1;1;;;;;;;;;
Closure_95; -;-;-;-;-;-;-;;;;;;;;;
Closure_96;25;25;25;25;25;25;25;;;;;;;;;
Closure_97;7;7;7;7;7;7;7;;;;;;;;;
Closure_98; -;-;-;-;-;-;-;;;;;;;;;
Closure_99;39;17;34;4;22;4;39;;;;;;;;;
Closure_100;6;38;7;39;7;56;6;;;;;;;;;
Closure_101;3843;3843;3843;-;3843;3843;3843;;;;;;;;;
Closure_102;4743;4743;4743;4743;4743;4743;4743;;;;;;;;;
Closure_103;1026;761;1026;958;761;23;1026;;;;;;;;;
Closure_104;8;8;8;8;8;8;8;;;;;;;;;
Closure_105;62;62;62;62;62;62;62;;;;;;;;;
Closure_106;2;92;83;747;4;2438;2;;;;;;;;;
Closure_107;4228;4228;4228;4228;4228;4228;4228;;;;;;;;;
Closure_108; -;-;-;-;-;-;-;;;;;;;;;
Closure_109;4;4;4;4;4;4;4;;;;;;;;;
Closure_110; -;-;-;-;-;-;-;;;;;;;;;
Closure_111; -;-;-;-;-;-;-;;;;;;;;;
Closure_112;109;89;109;62;96;62;109;;;;;;;;;
Closure_113;17;17;17;17;17;17;17;;;;;;;;;
Closure_114; -;-;-;-;-;-;-;;;;;;;;;
Closure_115;8;8;8;8;8;8;8;;;;;;;;;
Closure_116;42;10;30;3;14;3;42;;;;;;;;;
Closure_117; -;-;-;-;-;-;-;;;;;;;;;
Closure_118; -;-;-;-;-;-;-;;;;;;;;;
Closure_119; -;-;-;-;-;-;-;;;;;;;;;
Closure_120; -;-;-;-;-;-;-;;;;;;;;;
Closure_121; -;-;-;-;-;-;-;;;;;;;;;
Closure_122;2;2;2;2;2;2;2;;;;;;;;;
Closure_123;43;43;43;43;43;43;43;;;;;;;;;
Closure_124;10;10;10;10;10;10;10;;;;;;;;;
Closure_125;170;170;170;170;170;170;170;;;;;;;;;
Closure_126;6;6;6;6;6;6;6;;;;;;;;;
Closure_127; -;-;-;-;-;-;-;;;;;;;;;
Closure_128;11;11;11;11;11;11;11;;;;;;;;;
Closure_129; -;-;-;-;-;-;-;;;;;;;;;
Closure_130;545;545;545;545;545;545;545;;;;;;;;;
Closure_131;132;131;132;91;131;91;132;;;;;;;;;
Closure_132;80;80;80;80;80;80;80;;;;;;;;;
Closure_133;130;130;130;130;130;130;130;;;;;;;;;
Mockito_1; -;-;-;-;-;-;-;;;;;;;;;
Mockito_2; -;-;-;-;-;-;-;;;;;;;;;
Mockito_3; -;-;-;-;-;-;-;;;;;;;;;
Mockito_4; -;-;-;-;-;-;-;;;;;;;;;
Mockito_5; -;-;-;-;-;-;-;;;;;;;;;
Mockito_6; -;-;-;-;-;-;-;;;;;;;;;
Mockito_7; -;-;-;-;-;-;-;;;;;;;;;
Mockito_8; -;-;-;-;-;-;-;;;;;;;;;
Mockito_9;31;28;31;9;28;193;31;;;;;;;;;
Mockito_10;26;26;26;70;26;427;26;;;;;;;;;
Mockito_11;1;1;1;1;1;1;1;;;;;;;;;
Mockito_12;2;2;2;2;2;2;2;;;;;;;;;
Mockito_13;135;135;135;135;135;135;135;;;;;;;;;
Mockito_14;148;148;148;148;148;148;148;;;;;;;;;
Mockito_15; -;-;-;-;-;-;-;;;;;;;;;
Mockito_16;4;4;4;4;4;4;4;;;;;;;;;
Mockito_17;4;4;4;4;4;4;4;;;;;;;;;
Mockito_18; -;-;-;-;-;-;-;;;;;;;;;
Mockito_19; -;-;-;-;-;-;-;;;;;;;;;
Mockito_20; -;-;-;-;-;-;-;;;;;;;;;
Mockito_21;1;1;1;1;1;1;1;;;;;;;;;
Mockito_22;41;41;41;41;41;41;41;;;;;;;;;
Mockito_23;26;26;26;35;26;207;26;;;;;;;;;
Mockito_24;9;1;5;1;5;334;9;;;;;;;;;
Mockito_25;74;61;62;46;62;387;74;;;;;;;;;
Mockito_26; -;-;-;-;-;-;-;;;;;;;;;
Mockito_27;14;14;14;14;14;14;14;;;;;;;;;
Mockito_28;230;230;230;230;230;230;230;;;;;;;;;
Mockito_29;21;21;21;21;21;21;21;;;;;;;;;
Mockito_30;4;4;4;4;4;4;4;;;;;;;;;
Mockito_31; -;-;-;-;-;-;-;;;;;;;;;
Mockito_32;6;6;6;6;6;6;6;;;;;;;;;
Mockito_33;226;63;224;62;63;33;226;;;;;;;;;
Mockito_34;61;50;61;25;50;25;61;;;;;;;;;
Mockito_35;4;1;1;57;1;358;4;;;;;;;;;
Mockito_36;4;4;4;1;4;1;4;;;;;;;;;
Mockito_37;55;10;55;4;10;3;55;;;;;;;;;
Mockito_38;44;3;44;1;3;1;44;;;;;;;;;
Time_1;2;2;2;2;2;2;2;;;;;;;;;
Time_2;3;3;3;3;3;3;3;;;;;;;;;
Time_3;1;1;1;1;1;1;1;;;;;;;;;
Time_4;31;31;31;31;31;31;31;;;;;;;;;
Time_5;71;5;29;5;29;5;71;;;;;;;;;
Time_6;182;263;183;317;248;325;182;;;;;;;;;
Time_7;15;14;15;14;14;14;15;;;;;;;;;
Time_8;19;19;19;19;19;19;19;;;;;;;;;
Time_9;3;3;3;3;3;3;3;;;;;;;;;
Time_10;330;321;327;318;321;318;330;;;;;;;;;
Time_11; -;-;-;-;-;-;-;;;;;;;;;
Time_12;3;22;7;178;4;240;3;;;;;;;;;
Time_13; -;-;-;-;-;-;-;;;;;;;;;
Time_14;3;3;3;2;3;2;3;;;;;;;;;
Time_15;2;2;2;2;2;2;2;;;;;;;;;
Time_16;7;7;7;7;7;7;7;;;;;;;;;
Time_17;5;5;5;5;5;5;5;;;;;;;;;
Time_18;4;4;4;4;4;4;4;;;;;;;;;
Time_19;620;620;620;620;620;620;620;;;;;;;;;
Time_20; -;-;-;-;-;-;-;;;;;;;;;
Time_21;8;24;14;347;24;357;8;;;;;;;;;
Time_22;41;41;41;40;41;40;41;;;;;;;;;
Time_23;2;2;2;2;2;2;2;;;;;;;;;
Time_24;389;338;382;310;344;310;389;;;;;;;;;
Time_25;166;117;165;102;117;102;166;;;;;;;;;
Time_26; -;-;-;-;-;-;-;;;;;;;;;
Time_27;121;121;121;121;121;121;121;;;;;;;;;
